Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Moonee Ponds,31 Bowen St,2,h,860000,S,Nelson,2017-02-11,6.9,3039,2,1,1,301,80,1920,Moonee Valley City Council,-37.7695,144.9092,Western Metropolitan,6232
Heidelberg Heights,7 Flinders St,2,h,725000,S,Haughton,2016-12-10,10.5,3081,2,1,3,577,92,1955,Banyule City Council,-37.7368,145.0524,Eastern Metropolitan,2947
Thornbury,142 Flinders St,3,h,1056532,PI,Love,2017-11-25,7.0,3071,3,1,3,479,139,1970,Darebin City Council,-37.7569,145.012,Northern Metropolitan,8870
Reservoir,8 Willoughby St,3,h,650000,S,hockingstuart,2016-04-16,11.2,3073,3,1,2,468,92,1960,Darebin City Council,-37.7184,144.9962,Northern Metropolitan,21650
Reservoir,31 Orchid Av,4,h,1250000,SP,ASL,2017-09-09,12.0,3073,4,4,2,479,303,2006,Darebin City Council,-37.69495,144.98464,Northern Metropolitan,21650
Coburg,32A Kelson St,3,h,1025000,VB,Jellis,2017-02-25,7.8,3058,3,1,3,336,112,1950,Darebin City Council,-37.7408,144.9558,Northern Metropolitan,11204
North Melbourne,25 Wilson Mw,3,t,872000,S,Gary,2016-05-22,2.3,3051,3,1,2,326,139,1970,Melbourne City Council,-37.79779,144.94708666666668,Northern Metropolitan,6821
Hawthorn East,10/11 Grandview Gr,2,u,550000,PI,Noel,2016-11-12,7.5,3123,2,1,1,0,92,1970,Boroondara City Council,-37.8222,145.0566,Southern Metropolitan,6482
Ferntree Gully,3 Satori Ct,4,h,860000,VB,Appleby,2017-10-07,24.8,3156,4,2,2,677,195,1990,Knox City Council,-37.89446,145.27802,Eastern Metropolitan,10788
Elwood,24/193 Brighton Rd,2,u,763562,SP,Frank,2016-12-10,7.7,3184,2,1,1,1210,92,1970,Port Phillip City Council,-37.8785,144.9932,Southern Metropolitan,8989
Kingsville,69 Chirnside St,3,h,1180000,VB,Jas,2017-06-03,6.4,3012,3,1,1,335,139,1970,Maribyrnong City Council,-37.80742,144.88297,Western Metropolitan,1808
Docklands,8 Foundry Wy,4,t,1359154,PN,Lucas,2016-09-10,1.9,3008,3,1,2,0,216,1970,Melbourne City Council,-37.818115,144.94618,Southern Metropolitan,4707
Albanvale,4 Oakwood Rd,3,h,1056532,SN,Barry,2017-06-17,14.0,3021,3,1,3,614,125,1980,Brimbank City Council,-37.74144,144.77101,Western Metropolitan,1899
Seddon,29 Tennyson St,3,h,950000,S,Village,2017-05-13,6.6,3011,3,1,0,220,139,1920,Maribyrnong City Council,-37.8077,144.8883,Western Metropolitan,2417
Melton West,75 Westmelton Dr,3,h,400000,VB,PRDNationwide,2018-01-06,31.7,3337,3,2,2,621,143,1980,Melton City Council,-37.67591,144.55929,Northern Victoria,6065
Northcote,63 Union St,3,h,1056532,S,Nelson,2016-06-18,5.5,3070,3,1,2,185,105,1890,Darebin City Council,-37.7788,144.9944,Northern Metropolitan,11364
Carnegie,3/9 Madden Av,2,u,702000,S,Gary,2016-06-18,11.4,3163,3,1,2,251,92,1970,Glen Eira City Council,-37.893527272727276,145.05939818181818,Southern Metropolitan,7822
Collingwood,501/132 Smith St,2,u,763562,S,Jellis,2017-10-28,2.0,3066,3,1,2,193,92,1970,Yarra City Council,-37.797489999999996,144.98976,Northern Metropolitan,4553
Maidstone,2/6 Baird St,2,t,630000,PI,Burnham,2017-11-25,6.4,3012,3,1,2,1272,92,1970,Maribyrnong City Council,-37.782872,144.873116,Western Metropolitan,3873
Surrey Hills,3/18 Essex Rd,2,u,770000,S,Fletchers,2016-11-07,11.2,3127,2,1,1,156,92,1960,Boroondara City Council,-37.8275,145.0919,Southern Metropolitan,5457
Surrey Hills,9 Bristol St,5,h,1869914,S,Marshall,2016-08-28,11.2,3127,5,2,1,617,326,1910,Boroondara City Council,-37.8326,145.0868,Southern Metropolitan,5457
Tullamarine,3 Henderson Rd,4,h,821000,S,Jason,2017-07-01,12.9,3043,4,1,6,763,216,1970,Brimbank City Council,-37.69048,144.87312,Western Metropolitan,3296
Brunswick,411 Barkly St,2,h,945000,S,Jellis,2016-07-30,5.2,3056,2,1,2,246,103,1910,Moreland City Council,-37.775,144.9536,Northern Metropolitan,11918
Montmorency,2/193 Rattray Rd,4,h,926000,S,Jellis,2018-03-03,16.2,3094,3,1,2,280,216,1970,Banyule City Council,-37.73103,145.13404,Eastern Metropolitan,3891
Melbourne,804/394 Collins St,2,u,763562,VB,Greg,2016-05-28,2.8,3000,2,2,2,0,78,1876,Melbourne City Council,-37.8168,144.9612,Northern Metropolitan,17496
Dandenong,40 Grandview Av,3,h,585000,S,McLennan,2017-07-01,24.7,3175,3,1,2,492,139,1970,Greater Dandenong City Council,-37.9744825,145.216545,South-Eastern Metropolitan,10894
Sandringham,29 Victoria St,4,h,1359154,S,hockingstuart,2018-01-06,15.2,3191,4,2,3,460,216,1970,Bayside City Council,-37.95635,145.0143,Southern Metropolitan,4497
Carrum Downs,37 Hillview Dr,3,h,580000,PI,O'Brien,2017-11-25,34.9,3201,3,1,2,339,139,1970,Frankston City Council,-38.09665,145.17646,South-Eastern Metropolitan,8060
Glenroy,100 Daley St,3,h,640000,PI,Barry,2017-11-11,11.2,3046,3,1,2,590,139,1970,Moreland City Council,-37.6968,144.9274,Northern Metropolitan,8870
Greensborough,92 Warralong Av,3,h,838000,S,Buckingham,2018-01-06,16.1,3088,3,2,1,652,139,1970,Banyule City Council,-37.71887,145.10034,Northern Metropolitan,8524
Alphington,5 Ross St,4,h,2220000,S,Kay,2017-06-03,5.7,3078,4,2,3,580,184,1930,Darebin City Council,-37.77227,145.0284,Northern Metropolitan,2211
Armadale,14/49 Kooyong Rd,2,u,763562,W,McGrath,2017-09-23,6.3,3143,2,1,1,321,64,1960,Stonnington City Council,-37.85889,145.01989,Southern Metropolitan,4836
St Kilda,4/91 Wellington St,1,u,475000,S,Gary,2016-07-30,6.1,3182,1,1,1,0,52,1970,Port Phillip City Council,-37.8569,144.9885,Southern Metropolitan,13240
Kew,4/76 Studley Park Rd,3,u,882000,S,Marshall,2016-06-04,5.6,3101,3,2,2,0,141,1950,Boroondara City Council,-37.8064,145.0182,Southern Metropolitan,10331
Sunshine,88 Monash St,2,h,720000,S,Douglas,2016-05-28,12.6,3020,2,1,2,465,92,1970,Brimbank City Council,-37.7889,144.8362,Western Metropolitan,3755
Brunswick,2/263 Albion St,2,u,575000,PI,Walshe,2017-10-14,5.2,3056,3,1,2,598,92,1970,Moreland City Council,-37.76459166666667,144.96243166666667,Northern Metropolitan,11918
Windsor,50 Andrew St,2,h,1500000,S,Jellis,2016-11-19,5.1,3181,2,1,2,0,96,1928,Port Phillip City Council,-37.8518,144.9868,Southern Metropolitan,4380
Balwyn North,10 Seattle St,4,h,1500000,VB,Jellis,2016-05-07,9.2,3104,3,2,2,610,216,1970,Boroondara City Council,-37.784,145.0878,Southern Metropolitan,7809
St Kilda,9 Irymple Av,3,h,1056532,S,hockingstuart,2018-03-03,5.0,3182,3,2,2,363,177,1920,Port Phillip City Council,-37.86916,144.98656,Southern Metropolitan,13240
Cheltenham,44 Eunice Dr,3,h,900000,S,Barry,2017-06-24,17.9,3192,3,1,2,537,120,1965,Bayside City Council,-37.96388,145.07807,Southern Metropolitan,9758
Fitzroy North,14 Falconer St,3,h,1851000,S,Nelson,2016-11-19,3.5,3068,3,1,1,225,139,1970,Moreland City Council,-37.7852,144.9868,Northern Metropolitan,6244
Armadale,10 Hampden Rd,4,h,1359154,S,RT,2017-11-25,6.3,3143,3,1,2,321,216,1970,Stonnington City Council,-37.857505,145.01903666666666,Southern Metropolitan,4836
Glenroy,10 Morley St,3,h,780000,S,Raine,2017-10-28,11.2,3046,3,1,4,695,100,1950,Moreland City Council,-37.70106,144.93721,Northern Metropolitan,8870
Balwyn,8 Raynes St,5,h,4000000,VB,RT,2016-11-27,9.7,3103,5,4,3,1437,335,1970,Boroondara City Council,-37.8058,145.0882,Southern Metropolitan,5682
Burwood,11 Stephens St,3,h,1388000,SP,Buxton,2018-03-03,10.4,3125,3,1,2,772,112,1960,Monash City Council,-37.85628,145.10906,Southern Metropolitan,5678
Seddon,2 Skipper La,2,t,755000,SP,Village,2016-07-16,6.6,3011,2,2,1,97,92,1970,Maribyrnong City Council,-37.8044,144.8941,Western Metropolitan,2417
Fitzroy North,15 Willowbank Rd,3,h,1875000,S,hockingstuart,2018-03-17,3.6,3068,3,2,2,560,183,1980,Moreland City Council,-37.77501,144.98491,Northern Metropolitan,6244
Ashburton,8 Johnston St,3,h,1056532,S,Jellis,2018-03-17,10.2,3147,3,2,4,906,139,1970,Boroondara City Council,-37.86183,145.07582,Southern Metropolitan,3052
Williamstown,48 Chandler St,3,h,1450000,SP,Williams,2018-03-17,6.8,3016,3,1,1,445,139,1970,Hobsons Bay City Council,-37.8512,144.89095,Western Metropolitan,6380
Bentleigh,52a Tucker Rd,2,u,725000,S,Buxton,2017-04-29,13.0,3204,2,1,1,0,115,2006,Glen Eira City Council,-37.9296,145.0498,Southern Metropolitan,6795
Keilor East,83 Wyong St,3,h,785000,S,Barry,2016-06-18,12.8,3033,3,1,2,606,141,1965,Brimbank City Council,-37.7311,144.8663,Western Metropolitan,5629
Brunswick West,2/13 Walker St,2,u,471000,S,Jellis,2017-03-04,5.9,3055,2,1,1,564,60,1970,Moreland City Council,-37.7665,144.9425,Northern Metropolitan,7082
Mulgrave,162 Haverbrack Dr,3,h,860000,VB,Harcourts,2018-02-10,18.8,3170,3,1,4,726,130,1970,Monash City Council,-37.93662,145.20057,South-Eastern Metropolitan,7113
Mentone,17 Silverbanks Gr,3,t,881000,S,Buxton,2018-02-10,20.0,3194,3,3,2,1017,158,2008,Kingston City Council,-37.98004,145.07573,South-Eastern Metropolitan,6162
Footscray,39 Moore St,3,h,755000,PI,hockingstuart,2017-08-26,5.1,3011,3,1,2,334,110,1920,Maribyrnong City Council,-37.7977,144.90398,Western Metropolitan,7570
Brunswick,4 McPherson St,3,h,835000,PI,Jellis,2016-04-23,5.2,3056,3,1,0,302,139,1970,Moreland City Council,-37.758,144.9724,Northern Metropolitan,11918
Albert Park,3/78 Kerferd Rd,2,u,685000,PI,Greg,2017-06-24,3.0,3206,2,1,0,324,58,1930,Port Phillip City Council,-37.84469,144.95578,Southern Metropolitan,3280
Meadow Heights,35 Papworth Pl,3,h,632000,S,Barry,2018-02-10,17.4,3048,3,2,2,565,139,1970,Hume City Council,-37.65091,144.91758,Northern Metropolitan,4704
Rosanna,44 Bellevue Av,3,h,1056532,PN,Miles,2016-07-30,11.4,3084,3,1,2,542,139,1970,Banyule City Council,-37.740225,145.06990499999998,Eastern Metropolitan,3540
Greensborough,2/152 Nell St,3,u,665000,S,Nelson,2017-11-25,16.1,3088,3,1,2,652,139,1970,Banyule City Council,-37.70598625,145.1022825,Northern Metropolitan,8524
Northcote,86 Kellett St,3,h,1410000,S,Haughton,2017-11-25,5.3,3070,3,2,2,478,139,1970,Darebin City Council,-37.7678,145.013,Northern Metropolitan,11364
Rosanna,179 Beverley Rd,3,h,1224000,S,Nelson,2017-08-26,8.9,3084,3,1,2,609,124,1960,Banyule City Council,-37.74351,145.07965,Eastern Metropolitan,3540
Brunswick East,54 Kingfisher Gdns,5,h,1475000,PI,Jellis,2017-11-18,4.0,3057,5,4,2,216,298,2001,Moreland City Council,-37.7646,144.9826,Northern Metropolitan,5533
Reservoir,2/953 High St,2,h,555000,S,Nelson,2017-02-11,11.2,3073,2,1,2,229,92,1970,Darebin City Council,-37.71,145.0082,Northern Metropolitan,21650
Balwyn North,35 Sylvander St,4,h,1890000,S,Jellis,2017-05-13,9.2,3104,4,3,2,636,227,1960,Boroondara City Council,-37.789,145.0938,Southern Metropolitan,7809
Delahey,10 Danthonia St,3,h,585000,S,Barry,2017-10-07,18.0,3037,3,1,2,469,139,1970,Brimbank City Council,-37.72117,144.76772,Western Metropolitan,2898
Bentleigh East,1064 North Rd,3,h,930000,S,Buxton,2017-09-23,13.8,3165,3,1,2,501,139,1970,Glen Eira City Council,-37.90874,145.07775,Southern Metropolitan,10969
Hawthorn,8/27 Hill St,1,u,487000,S,Jellis,2017-10-14,5.3,3122,3,1,2,1438,52,1970,Boroondara City Council,-37.82438470588235,145.03300294117648,Southern Metropolitan,11308
Edithvale,17 Tudor Ct,4,u,700000,VB,Buxton,2017-07-29,27.0,3196,4,2,2,320,216,1970,Kingston City Council,-38.03227,145.11759,South-Eastern Metropolitan,2546
Edithvale,20 Northcliffe Rd,3,h,1100000,VB,Buxton,2017-08-26,27.0,3196,3,2,4,737,139,1940,Kingston City Council,-38.04214,145.11372,South-Eastern Metropolitan,2546
Glenroy,18 Pengana Av,3,h,681500,S,Barry,2016-09-03,13.0,3046,3,1,2,484,139,1970,Moreland City Council,-37.70359052631579,144.92335947368423,Northern Metropolitan,8870
Toorak,38 Carters Av,3,h,3200000,PI,RT,2017-09-23,4.1,3142,3,3,3,577,397,2017,Stonnington City Council,-37.84268,145.00869,Southern Metropolitan,7217
Heidelberg Heights,92A Southern Rd,2,h,510000,SP,Barry,2017-02-25,10.5,3081,2,1,2,244,92,1970,Banyule City Council,-37.7421,145.0491,Eastern Metropolitan,2947
St Kilda,4A Odessa St,2,h,1200000,VB,Marshall,2017-09-23,5.0,3182,3,1,2,149,92,1970,Port Phillip City Council,-37.86181,144.98896,Southern Metropolitan,13240
Bentleigh East,48a Celia St,4,t,1250000,PI,Buxton,2016-09-17,13.9,3165,4,2,2,314,231,2010,Glen Eira City Council,-37.9299,145.0598,Southern Metropolitan,10969
St Kilda,8/9 Charles St,1,u,413392,SP,Biggin,2016-07-16,6.1,3182,1,1,0,0,47,1940,Port Phillip City Council,-37.8633,144.9828,Southern Metropolitan,13240
Templestowe,337 Porter St,4,h,1230000,S,Barry,2017-11-18,15.5,3106,3,1,2,1189,216,1970,Manningham City Council,-37.75955666666666,145.15093833333336,Eastern Metropolitan,6202
Glen Iris,19 Hope St,3,h,1056532,S,Marshall,2018-03-03,7.3,3146,3,2,1,256,140,1995,Boroondara City Council,-37.86292,145.04961,Southern Metropolitan,10412
Yallambie,1/9 Elonera Av,2,u,671000,S,Barry,2018-02-17,12.7,3085,3,1,2,609,92,1970,Banyule City Council,-37.727286666666664,145.09136999999998,Northern Metropolitan,1369
Lalor,105 William St,3,h,700000,SP,YPA,2017-07-29,16.3,3075,3,1,2,625,139,1970,Whittlesea City Council,-37.67427,145.02961,Northern Metropolitan,8279
Craigieburn,10 Wisteria Av,4,h,750000,S,Ray,2017-10-28,20.6,3064,4,2,2,464,264,2011,Hume City Council,-37.5715,144.92156,Northern Metropolitan,15510
Kensington,10 Mulgrave St,2,h,786000,S,Biggin,2016-08-28,4.2,3031,2,1,0,149,92,1970,Melbourne City Council,-37.7908,144.9309,Northern Metropolitan,5263
Richmond,69 Buckingham St,3,h,1525000,VB,Jellis,2017-09-09,2.4,3121,3,2,0,195,122,1890,Yarra City Council,-37.81384,145.00358,Northern Metropolitan,14949
Sunshine West,89 Whitesides Av,3,h,540000,S,Barry,2016-06-18,13.5,3020,3,1,2,635,139,1970,Brimbank City Council,-37.791222,144.808784,Western Metropolitan,6763
Brighton East,2/33 Cluden St,2,u,903000,S,Hodges,2016-11-27,10.7,3187,2,1,1,171,101,1970,Bayside City Council,-37.9125,145.0114,Southern Metropolitan,6938
Truganina,266a Sayers Rd,3,u,1056532,SN,Barry,2017-09-09,18.4,3029,3,2,1,216,139,1970,Melton City Council,-37.85278,144.73541,Western Metropolitan,5811
Doncaster,3/37 Queens Av,2,u,752000,S,Philip,2017-05-06,13.9,3108,3,1,2,491,92,1970,Manningham City Council,-37.78702,145.13044,Eastern Metropolitan,9028
Reservoir,57 Newton St,3,h,866000,S,Nelson,2016-09-24,11.2,3073,3,1,2,569,139,1970,Darebin City Council,-37.7313,145.0224,Northern Metropolitan,21650
Highett,3 Port St,3,h,1242000,S,Greg,2017-08-12,16.0,3190,3,1,2,700,139,1970,Bayside City Council,-37.95384,145.05443,Southern Metropolitan,4794
Nunawading,49 Worrell St,3,h,1102000,S,Jellis,2018-01-06,15.4,3131,3,2,3,557,139,1970,Manningham City Council,-37.80544,145.18344,Eastern Metropolitan,4973
Bulleen,2/11 Estelle St,2,u,743000,S,Barry,2017-12-09,10.8,3105,3,1,2,686,92,1970,Manningham City Council,-37.76932090909091,145.09133272727274,Eastern Metropolitan,4480
Sunbury,1/6 Anthony St,2,u,360000,SP,Brad,2017-07-29,31.7,3429,2,1,1,143,112,1999,Hume City Council,-37.57063,144.70693,Western Metropolitan,14092
Moorabbin,2/3 William St,2,u,540000,S,Jellis,2018-03-17,14.3,3189,3,1,2,541,92,1970,Kingston City Council,-37.939586,145.05114799999998,Southern Metropolitan,2555
Clayton,3/3 Auguste Av,4,t,1359154,PI,Ray,2017-08-26,16.7,3168,4,3,2,257,216,2012,Monash City Council,-37.90512,145.12725,South-Eastern Metropolitan,5837
Balwyn North,40 MacEdon Av,2,h,1000000,VB,Marshall,2017-10-28,9.7,3104,2,1,2,244,109,1990,Boroondara City Council,-37.78963,145.07365,Southern Metropolitan,7809
Werribee,1/5 Sanderling St,2,u,355000,S,Barry,2017-11-25,14.7,3030,3,1,2,690,92,1970,Wyndham City Council,-37.89427875,144.656683125,Western Metropolitan,16166
South Melbourne,100 Iffla St,2,h,763562,VB,Greg,2017-12-09,1.9,3205,2,2,2,9198,135,1900,Port Phillip City Council,-37.84036,144.94847,Southern Metropolitan,5943
Eltham North,27 Brixton Av,4,h,1359154,SN,Barry,2017-06-24,18.0,3095,3,1,2,621,216,1970,Banyule City Council,-37.810891171521824,145.00222747452605,Eastern Metropolitan,2346
Templestowe Lower,38 Caroline Dr,3,h,1350000,S,Jellis,2017-08-12,12.4,3107,3,2,3,725,139,1970,Manningham City Council,-37.76616,145.11207,Eastern Metropolitan,5420
Roxburgh Park,10 Manton Pl,4,h,477000,S,Raine,2017-10-28,20.6,3064,4,2,0,475,142,1995,Hume City Council,-37.62909,144.92335,Northern Metropolitan,5833
Hawthorn East,446 Tooronga Rd,3,h,1056532,S,Marshall,2016-04-16,7.5,3123,2,2,2,336,159,1920,Boroondara City Council,-37.8373,145.0467,Southern Metropolitan,6482
Blackburn North,6 Conrad Ct,3,h,1001000,S,Noel,2017-06-17,13.4,3130,3,1,1,671,139,1970,Whitehorse City Council,-37.802,145.15828,Eastern Metropolitan,2867
South Morang,11 Ilyuka Wy,5,h,1869914,PI,Harcourts,2017-07-22,20.5,3752,5,3,2,660,331,2004,Whittlesea City Council,-37.62197,145.07044,Northern Metropolitan,7969
Camberwell,9 Derby St,5,h,2250000,PI,Marshall,2016-08-28,7.8,3124,5,5,1,639,453,2010,Boroondara City Council,-37.8303,145.0668,Southern Metropolitan,8920
Parkdale,29 Evan St,3,h,1250000,S,Obrien,2017-09-16,21.5,3195,3,1,2,802,139,1970,Kingston City Council,-37.98752,145.08358,South-Eastern Metropolitan,5087
Eaglemont,36 Silverdale Rd,3,h,1925000,S,Nelson,2017-08-19,8.9,3084,3,2,2,780,139,1970,Banyule City Council,-37.76617,145.05332,Eastern Metropolitan,1651
Ivanhoe East,1/169 Lower Heidelberg Rd,3,t,1050000,VB,Nelson,2016-08-22,9.0,3079,3,2,1,180,165,2012,Banyule City Council,-37.772,145.0538,Eastern Metropolitan,1554
Carnegie,3/21 Jersey Pde,1,u,255000,S,Ray,2017-03-04,11.4,3163,1,1,1,0,52,1970,Glen Eira City Council,-37.8875,145.0599,Southern Metropolitan,7822
Ashwood,2/5 Parkhill Dr,3,u,890000,S,Jellis,2017-05-20,12.2,3147,3,2,2,235,130,2006,Monash City Council,-37.8625,145.1083,Southern Metropolitan,2894
Keilor East,3 Alwyn Ct,4,h,784000,SP,Barry,2017-09-23,11.7,3033,4,2,2,477,216,1970,Brimbank City Council,-37.74873,144.85211,Western Metropolitan,5629
Sandringham,124 Abbott St,3,h,1651000,S,Buxton,2017-07-22,15.2,3191,3,2,1,390,125,1950,Bayside City Council,-37.95035,145.01571,Southern Metropolitan,4497
Reservoir,6/13 Fyfe St,2,t,416000,S,Ray,2016-09-10,11.2,3073,2,1,1,159,70,2000,Darebin City Council,-37.7059,145.0115,Northern Metropolitan,21650
Templestowe,3 Beale Ct,4,h,1488000,S,Woodards,2018-03-17,15.5,3106,4,2,2,719,727,1970,Manningham City Council,-37.75579,145.139,Eastern Metropolitan,6202
Fawkner,6 William St,2,h,700000,S,McGrath,2018-02-17,13.1,3060,2,1,2,569,83,1960,Hume City Council,-37.70652,144.96724,Northern Metropolitan,5070
Caulfield North,1/13 Narong Rd,2,u,536000,S,Gary,2017-02-25,8.1,3161,2,1,1,771,82,1960,Glen Eira City Council,-37.8686,145.0239,Southern Metropolitan,6923
Windsor,46/174 Peel St,2,u,1200000,SP,Jellis,2016-11-19,5.1,3181,2,2,1,0,111,2007,Port Phillip City Council,-37.8563,144.9916,Southern Metropolitan,4380
Greenvale,2/24 Barrymore Rd,3,t,457500,S,Barry,2017-10-14,20.4,3059,3,1,2,759,139,1970,Hume City Council,-37.645725,144.8963125,Northern Metropolitan,4864
Fitzroy North,49 Batman St,2,h,1370000,S,Collins,2017-11-18,3.6,3068,2,1,2,147,92,1970,Moreland City Council,-37.7836,144.9791,Northern Metropolitan,6244
Balwyn North,14 Buchanan Av,4,h,1359154,S,Marshall,2016-11-07,9.2,3104,3,1,2,724,216,1970,Boroondara City Council,-37.79191300000001,145.084641,Southern Metropolitan,7809
Bentleigh,16b Marquis Rd,5,t,1275000,PI,Buxton,2016-06-27,13.0,3204,3,1,2,513,335,1970,Glen Eira City Council,-37.923969523809525,145.03940523809524,Southern Metropolitan,6795
Werribee,80 Westleigh Dr,3,h,1056532,W,YPA,2018-02-17,14.7,3030,3,3,2,1249,139,1970,Wyndham City Council,-37.91135,144.63257,Western Metropolitan,16166
Oak Park,6/4 Lex Gr,2,h,580000,SP,Nelson,2018-02-17,11.2,3046,3,1,2,581,92,1970,Moreland City Council,-37.71667,144.91368166666666,Northern Metropolitan,2651
Gladstone Park,8 Conifer Cl,3,h,660000,S,Barry,2017-09-09,12.9,3043,3,1,3,467,139,1970,Hume City Council,-37.69271,144.891,Western Metropolitan,3285
Hawthorn East,81 Roseberry St,3,h,1056532,SP,Marshall,2016-12-03,7.5,3123,3,1,1,246,128,1890,Boroondara City Council,-37.8267,145.0503,Southern Metropolitan,6482
Melton South,115 Exford Rd,3,h,340000,S,Raine,2017-08-26,29.8,3338,3,1,1,632,121,1970,Melton City Council,-37.71371,144.57272,Western Victoria,4718
Bellfield,2 Erica Ct,2,h,736500,SP,Miles,2017-05-27,8.8,3081,2,1,1,271,92,1970,Banyule City Council,-37.75329,145.04059,Eastern Metropolitan,790
Point Cook,5 Marshall Tce,4,h,600000,S,hockingstuart,2017-09-16,14.7,3030,4,2,2,507,147,2009,Wyndham City Council,-37.89243,144.72331,Western Metropolitan,15542
Burwood,7 Waratah Av,3,h,1400000,S,Jellis,2017-03-04,11.7,3125,3,1,2,667,139,1970,Monash City Council,-37.85172,145.10803687499998,Southern Metropolitan,5678
Glenroy,48 Everard St,3,h,580000,S,Barry,2016-11-19,13.0,3046,3,1,2,650,142,1960,Moreland City Council,-37.7002,144.9408,Northern Metropolitan,8870
Blackburn,31 Stanley Gr,3,h,1530000,S,Noel,2017-06-24,13.4,3130,3,1,2,785,139,1970,Whitehorse City Council,-37.81321,145.14635,Eastern Metropolitan,5713
Blackburn,27 Gerald St,4,h,1850000,VB,Noel,2017-09-16,13.4,3130,4,2,2,628,287,2012,Whitehorse City Council,-37.82942,145.16714,Eastern Metropolitan,5713
Endeavour Hills,1 Jordan Ct,4,h,685000,S,Win,2017-10-14,28.5,3802,4,2,2,669,156,1977,Casey City Council,-37.97571,145.24914,South-Eastern Metropolitan,8443
Box Hill,2/20 Simpsons Rd,2,u,761000,S,Marshall,2016-06-18,13.1,3128,2,2,1,176,92,2000,Whitehorse City Council,-37.8171,145.1343,Eastern Metropolitan,4605
Hallam,11 Turanga Pl,3,h,601000,S,REMAX,2017-06-17,32.3,3803,3,2,4,604,168,1995,Casey City Council,-38.00305,145.2729,South-Eastern Metropolitan,3728
Pascoe Vale,4/236 Boundary Rd,2,t,530000,S,Raine,2017-05-27,8.5,3044,2,2,1,135,84,1970,Moreland City Council,-37.71628,144.93822,Northern Metropolitan,7485
Bentleigh,3/148 Tucker Rd,2,u,520000,S,McGrath,2016-11-19,13.0,3204,3,1,2,513,92,1970,Glen Eira City Council,-37.923969523809525,145.03940523809524,Southern Metropolitan,6795
Albert Park,32 Page St,2,h,1340000,S,Greg,2017-02-25,3.3,3206,2,1,0,136,92,1970,Port Phillip City Council,-37.846,144.9517,Southern Metropolitan,3280
Brunswick West,497 Albion St,5,h,1350000,SP,Woodards,2016-11-07,5.9,3055,5,2,2,510,321,1997,Moreland City Council,-37.7581,144.9414,Northern Metropolitan,7082
Sandringham,6/76 Bay Rd,2,u,643500,S,hockingstuart,2017-07-01,15.2,3191,2,1,1,0,67,1970,Bayside City Council,-37.95236,145.00737,Southern Metropolitan,4497
Kew,31 Peel St,8,h,3130000,S,Jellis,2017-03-18,5.6,3101,3,1,2,570,618,1970,Boroondara City Council,-37.8034,145.0331,Southern Metropolitan,10331
Northcote,130 Darebin Rd,3,h,1056532,S,Collins,2017-11-25,5.3,3070,3,2,1,478,139,1970,Darebin City Council,-37.7644,145.009,Northern Metropolitan,11364
Braybrook,14 Enderby Ct,3,h,797000,S,Douglas,2017-07-08,8.6,3019,3,1,2,694,110,1960,Maribyrnong City Council,-37.79382,144.85107,Western Metropolitan,3589
Mount Waverley,15 Virginia St,3,h,1850000,PI,Jellis,2017-07-08,14.2,3149,3,1,1,717,153,1960,Monash City Council,-37.87754,145.12076,Eastern Metropolitan,13366
Seaford,23 Kananook Av,3,h,900000,S,Aquire,2017-06-24,35.4,3198,3,1,2,1000,139,1970,Frankston City Council,-38.111305,145.13594,South-Eastern Metropolitan,8077
Glenroy,1/75 Morley St,3,t,1056532,PI,Barry,2018-02-17,11.2,3046,3,1,2,484,139,1970,Moreland City Council,-37.70359052631579,144.92335947368423,Northern Metropolitan,8870
Fawkner,76 William St,3,h,860000,SP,Nelson,2018-02-17,13.1,3060,3,1,1,670,139,1970,Hume City Council,-37.70046,144.96817,Northern Metropolitan,5070
Altona,2/60 David St,2,h,535600,SP,Compton,2016-07-30,13.8,3018,2,1,1,154,91,1996,Hobsons Bay City Council,-37.8646,144.8272,Western Metropolitan,5301
Elsternwick,421 Kooyong Rd,4,h,1359154,SP,Biggin,2016-10-15,8.5,3185,3,2,2,655,242,1920,Glen Eira City Council,-37.893,145.0135,Southern Metropolitan,4898
Camberwell,64A Christowel St,2,h,1470000,S,Noel,2017-02-25,7.8,3124,2,1,2,400,92,1970,Boroondara City Council,-37.8393,145.0662,Southern Metropolitan,8920
Burwood,19 Wallace Rd,3,h,1056532,SN,Woodards,2017-03-11,11.7,3125,3,3,2,645,139,1970,Monash City Council,-37.8471,145.0985,Southern Metropolitan,5678
Aspendale,13/200 Nepean Hwy,3,t,1056532,SN,Barry,2017-09-09,21.5,3195,3,1,2,3931,139,1970,Kingston City Council,-38.03314,145.10508,South-Eastern Metropolitan,2824
Bentleigh East,7 Richard St,2,h,1186000,S,Jellis,2018-02-10,13.8,3165,2,1,4,619,92,1970,Glen Eira City Council,-37.92201,145.07435,Southern Metropolitan,10969
Ashburton,45 Yuile St,3,h,1655000,S,Jellis,2016-12-10,11.0,3147,3,1,3,780,152,1940,Boroondara City Council,-37.8599,145.0815,Southern Metropolitan,3052
